feature,articles,citations,recent_articles,recent_citations,vita,boruta,ssboost,deeppink,kol,korf,koglm,ipssl,ipssrf,ipssgb
SCAND2,2,39,1,4,,,,,,,,0.189733994,,
OSBPL1A,11,138,9,70,,,,,0.34,,,,,
NFATC4,62,1467,44,476,,,,,0.37,0.44,,,,
NCSTN,50,824,29,252,,,,,,,,,,0.19842471705882353
AFAP1L2,15,266,10,98,,,,,0.35000000000000003,,,,,
EFNA1,88,1677,66,815,,,,,0.35000000000000003,,,,,
BAT5,3,205,1,18,,,,,0.4,,,,,
DNAJB12,14,370,10,138,,,,,,0.44,,,0.10064967833333333,
CPEB3,97,2644,73,977,,,,,,0.44,,,,
KREMEN1,21,300,11,91,,,,,0.34,,,,,
C20orf3,3,113,3,113,,,,,0.37,,,0.27574603411764703,,
GRK5,54,1653,31,644,,,,,,0.44,,,,
NAA35,11,578,9,545,,,,,,0.44,,,,
GGH,46,1113,29,545,,,,,,0.44,,,,
IFITM2,60,2339,41,1045,,,,,0.35000000000000003,,,,,
FSTL1,97,1993,64,840,,,,,,,,,0.22514365130434782,
GTF3C1,6,201,3,7,,,,,,,,,,0.34062917958333333
MSN,464,11866,315,6328,,,,,,,,,0.10463690181818182,
PDPN,419,12929,304,5402,,,,,,,,,0.22514365130434782,
CX3CL1,610,23044,452,8792,,,,,0.34,,,,,
HIST2H2BE,33,405,26,247,,,,,0.35000000000000003,,,0.34030676833333334,,
TRMT12,4,112,4,112,,,,,0.34,,,,,
HSPA1B,114,2034,75,858,,,,,,,,,,0.0832881
FAM192A,1,13,1,13,,,,,,0.44,,,,
FOXM1,1953,62538,1421,26087,,,,,,,,,,0.24997696349999998
TOX,520,6860,314,4118,,,,,0.35000000000000003,,,,,
USP28,191,7700,146,3714,,,,,,,,,,0.14974175166666667
GALNTL4,1,27,0,0,,,,,,,,0.17558719692307692,,
PHKB,21,322,12,63,,,,,0.37,,,,,
AS3MT,14,50,11,49,,,,,,,,,,0.3198872795652174
INSIG1,66,4075,50,2671,,,,,0.34,,,0.189733994,,
PLAT,322,3968,173,988,,,,,,,,,0.44140047374999997,
PPM1K,15,499,9,429,,,,,0.35000000000000003,,,,,
NTNG2,14,150,12,105,,,,,,0.44,,,0.101347389,
GALNT7,57,1151,34,385,,,,,,,,,,0.40103099777777773
PSME4,24,606,17,150,,,,,0.39,,,,,
KCTD18,3,121,1,44,,,,,0.35000000000000003,,,,,
RGS11,10,158,6,25,,,,,,0.44,,,,
MDGA1,11,231,5,49,,,,,0.35000000000000003,,,,,
FBXW4,23,521,19,130,,,,,,0.44,,0.0901493775,,
CDC73,57,975,45,550,,,,,,0.44,,,,
PDIA4,75,983,61,639,,,,,,0.44,,,0.22514365130434782,
IFT27,12,167,10,27,,,,,,0.44,,,,
C18orf10,1,1,1,1,,,,,0.37,,,0.02678531166666667,,
RBP1,98,4602,58,1020,,,,,,0.44,,,,
INADL,8,178,4,19,,,,,0.35000000000000003,,,,,
GBAS,7,194,4,43,,,,,0.35000000000000003,,,,,
TUBA1C,85,858,72,531,,,,,,0.44,,,,
ARMC8,15,1846,9,1521,,,,,,,,,,0.3451094356
PTGFRN,57,883,39,384,,,,,,,,,0.0767825575,
ZNF626,3,529,2,10,,,,,0.35000000000000003,,,,,
RAB34,51,879,35,394,,,,,,0.44,,,,
WIPI2,69,8453,56,3104,,,,,,0.44,,,,
BEST3,13,31,10,31,,,,,0.35000000000000003,,,,,
LOC550112,0,0,0,0,,,,,0.37,,,,,
SMUG1,47,1253,30,378,,,,,0.34,,,,,
NCAPD2,37,338,27,127,,,,,,0.44,,,,
FAM178A,4,10,2,0,,,,,,0.44,,,,
SMC4,118,2109,85,987,,,,,,0.44,,,0.06821304666666667,
CCNB1,770,14856,559,6127,,,,,,,,,0.101347389,
MGC2752,2,40,2,40,,,,,,0.44,,,,
SERPINA3,145,2133,102,846,,,,,,,,0.02678531166666667,,
NUPL2,5,221,1,13,,,,,0.35000000000000003,,,,,
CSGALNACT1,21,2091,13,67,,,,,0.37,,,,,
F11R,68,1188,46,446,,,,,,0.44,,,,
VAMP7,70,7777,50,2766,,,,,0.34,,,,,
PPP1R15B,10,72,8,49,,,,,0.35000000000000003,,,,,
C20orf112,0,0,0,0,,,,,,,,,,0.24997696349999998
EXT2,66,2481,44,461,,,,,,,,,0.101347389,
FAM135A,10,142,7,49,,,,,0.34,,,,,
KPNA2,154,2733,119,1619,,,,,,,,,0.19432474785714285,
SERPINE2,149,4136,121,2731,,,,,0.34,,,,,
PHYHD1,6,66,6,66,,,,,,0.44,,,,
BTN2A1,35,563,30,490,,,,,0.34,,,,,
CDK9,444,14558,328,7201,,,,,,,,,,0.24800823166666663
DRP2,14,292,8,48,,,,,0.37,,,,,
SLC39A7,32,539,28,199,,,,,,,,,,0.19842471705882353
PCBD1,10,106,4,17,,,,,0.35000000000000003,,,0.04309740875,,
ASB13,7,31,6,30,,,,,,,,,0.19432474785714285,
C10orf4,3,52,2,15,,,,,,,,,0.05793038,
USP4,127,4223,96,1981,,,,,0.35000000000000003,,,0.02678531166666667,,0.30028315476190476
RASSF2,58,2307,29,385,,,,,,0.44,,,,
