feature,articles,citations,recent_articles,recent_citations,vita,boruta,ssboost,deeppink,kol,korf,koglm,ipssl,ipssrf,ipssgb
FAM127B,7,46,4,18,,,,,0.27,,,,,
UGDH,124,2760,82,1132,,,,,0.23,,,,,0.13485671222222223
ADAMTS9,473,12928,364,4292,,,,,0.23,,,,,
AURKA,2678,83385,1747,24098,,,,,,0.33,,,,
MAP3K4,139,4375,77,1170,,,,,,,,,,0.21093319384615386
IGSF3,56,904,38,239,,,,,,,,,,0.21093319384615386
C10orf18,4,122,1,0,,,,,0.27,,,,,
PPAP2A,31,759,11,105,,,,,0.27,,,,,
HSPB8,240,10589,170,4238,,,,,0.27,,,,,
RRAGD,77,2063,50,662,,,,,,0.31,,,,
NUMBL,88,2208,53,595,,,,,0.23,,,,,
C3orf75,2,7,1,1,,,,,0.27,,,,,
TRIM25,392,7873,333,5036,,,,,,0.14,,,,
SLCO2A1,104,2135,63,801,,,,,,0.36,,,,
SFRP2,804,28644,490,9117,,,,,,0.19,,,,
GPR125,30,1210,14,453,,,,,0.27,,,,,
CCDC25,134,2653,127,2350,,,,,,0.3,,,,
TAF3,47,2630,29,297,,,,,0.23,,,,,
ID2,1049,42793,597,12291,,,,,,0.15,,,,
TDRKH,50,541,40,377,,,,,,,,,,0.3969481805555556
SYCP2,59,854,41,268,,,,,0.34,,,,,
EFHD2,46,650,31,273,,,,,,,,,0.18871268000000002,
EHD4,44,1030,27,472,,,,,,0.14,,,,
ARHGEF35,7,70,4,22,,,,,0.27,,,,,
UBTD2,3,87,2,12,,,,,,0.36,,,,
LOC651250,1,32,0,0,,,,,,0.14,,,,
NEDD9,450,19340,218,2490,,,,,0.33,,,,,
DOCK8,139,4048,74,763,,,,,0.25,,,,,
MRPL38,26,612,17,277,,,,,,0.14,,,,
BAHD1,31,437,15,183,,,,,,0.14,,,,
HAUS1,28,330,18,122,,,,,,0.14,,,,
KREMEN1,61,2174,32,598,,,,,0.33,0.14,,,,
NGLY1,30,1378,18,213,,,,,,,,,,0.29031731466666666
UTP6,27,408,15,92,,,,,0.23,,,,,
THNSL2,18,583,10,452,,,,,0.23,,,,,
MLH1,4465,150682,2708,38927,,,,,,0.14,,,0.33189047666666666,
ARGLU1,32,358,22,123,,,,,,0.15,,,,
PDCD4,2297,94387,1301,27752,,,,,0.23,,,,,
JRKL,6,87,4,24,,,,,0.24,,,,,
ARNTL,279,9954,202,4482,,,,,0.33,,,,,
ARNT,1248,71486,668,14501,,,,,0.25,,,,,
SLC7A5,894,27204,683,12132,,,,,0.27,,,,,
MRPS7,37,1490,25,320,,,,,,0.14,,,,
HLA-DQB1,796,10317,644,5951,,,,,0.25,,,,,
PPP5C,33,622,20,215,,,,,,0.14,,,,
NT5DC3,21,395,14,284,,,,,0.23,,,,,
BMP8A,61,1621,42,428,,,,,0.23,,,,,
BMPR1A,550,19299,315,4030,,,,,0.23,,,,,
ZNF410,15,232,8,55,,,,,,0.33,,,,
SLC31A2,57,1000,47,586,,,,,0.23,,,,,
REXO2,24,150,20,57,,,,,,0.14,,,,
DGAT2,207,5313,158,2289,,,,,0.33,,,,,
TIPARP,107,2866,74,736,,,,,,,,,,0.13485671222222223
KIAA1191,7,98,4,12,,,,,0.27,,,,,
LINGO1,45,619,23,211,,,,,0.32,,,,,
TRAF4,345,14477,238,5772,,,,,,0.14,,,,
C5orf32,7,171,3,16,,,,,,0.14,,,,
BLZF1,29,553,18,93,,,,,,0.36,,,,
CD163,4726,154369,3748,66122,,,,,,0.4,,,,
SLC20A2,44,2116,30,500,,,,,,,,,0.18687139,
CASK,142,4197,69,1389,,,,,0.27,,,,,
PKD1,430,19365,245,5818,,,,,,0.36,,,,
C10orf26,5,392,1,199,,,,,,0.14,,,,
LOC90784,10,200,5,27,,,,,0.23,,,,,
RAB5B,151,6902,97,1510,,,,,,,,,,0.13485671222222223
SUSD2,119,3445,70,1116,,,,,,0.14,,,,
LAMA4,335,10025,211,2503,,,,,,0.32,,,,
CUL1,697,32722,385,8435,,,,,,0.33,,,,
PWP2,24,639,14,163,,,,,,0.23,,,,
TOM1,80,2985,40,1726,,,,,,0.34,,,,
BAMBI,237,6679,144,2261,,,,,,0.14,,,,
ANKRD11,94,1838,59,393,,,,,0.23,0.33,,,,
TMEM181,8,155,5,80,,,,,,0.36,,,,
SEMA3B,245,7016,146,1761,,,,,0.23,,,0.33670022,,
GJA4,51,1276,42,575,,,,,,0.21,,,,
TP53I11,70,2809,38,731,,,,,0.23,0.3,,,,0.13485671222222223
ADAM6,28,2092,11,88,,,,,,,,,0.4065199014285715,
DAB2,454,17742,241,3762,,,,,,0.24,,,,
VHL,4364,196061,2417,44799,,,,,,,,,,0.13485671222222223
ELOVL2,172,4323,141,3687,,,,,0.25,,,,,
TMEM14B,14,153,10,59,,,,,0.23,,,,,
ZC3H3,39,1682,27,1101,,,,,,0.14,,,,
NCRNA00183,0,0,0,0,,,,,0.23,,,,,
GSTA4,112,3216,61,696,,,,,0.33,,,,,
LOC729082,0,0,0,0,,,,,0.23,,,,,
ZNF134,10,264,4,9,,,,,0.25,,,,,
STK17A,38,499,24,113,,,,,0.23,,,,,
RABIF,28,835,15,329,,,,,,0.21,,,,
METTL7A,111,1470,86,808,,,,,0.23,,,,,
SLC25A12,46,468,35,217,,,,,0.25,,,,,
PSPC1,115,5361,78,1129,,,,,,0.14,,,,
CARS,2258,83428,1517,39581,,,,,,0.14,,,,
VIPAR,4,20,1,12,,,,,0.23,,,,,
PAPD5,26,706,15,197,,,,,,0.38,,,,
PELI3,17,216,12,149,,,,,0.27,,,,,
NET1,185,5840,121,1924,,,,,0.23,,,,,
TMEM188,0,0,0,0,,,,,0.23,,,,,
KLHL21,26,356,20,160,,,,,0.25,,,,,
DEF6,35,600,24,139,,,,,,0.15,,,0.18687139,
RPGRIP1L,40,3640,23,1668,,,,,,0.23,,,,
COL14A1,260,10264,165,4437,,,,,,0.14,,,,
INSIG2,83,2791,50,1842,,,,,0.23,,,,,
KDELR1,34,647,18,147,,,,,,0.14,,,,
RNF135,51,1273,41,1034,,,,,0.27,,,,,
SLC1A5,1057,42139,867,22558,,,,,,0.3,,,,
ZNF614,9,138,6,37,,,,,0.23,,,,,
LOC550643,5,380,5,380,,,,,0.25,,,,,
ACTR1A,25,1115,16,197,,,,,0.23,,,,,
RWDD4A,4,86,1,5,,,,,,0.14,,,,
HSPA8,605,20542,413,7737,,,,,,0.33,,,,
NFATC1,760,23988,515,10069,,,,,0.23,,,,,
RPS6KA3,202,5577,109,1306,,,,,,0.21,,,,
CASP9,658,17405,438,4687,,,,,0.23,,,,,
PPP1R3C,100,2337,51,469,,,,,0.33,,,,,
SCRN3,10,43,5,5,,,,,,0.18,,,,
LMO4,174,4735,81,807,,,,,,0.33,,,,
TIMM10,18,120,12,81,,,,,0.23,,,,,
ABCC3,498,15103,291,3992,,,,,0.25,,,,,
BAZ2A,84,2699,54,794,,,,,,0.34,,,,
LCP2,167,3127,114,1373,,,,,0.23,,,,,
STX5,30,5513,17,1564,,,,,,0.36,,,,
CD99,695,14517,423,4775,,,,,,0.14,,,,
CALML4,23,408,13,60,,,,,0.27,,,,,
CYB5A,83,1821,50,390,,,,,0.27,,,,,
SEMA4B,86,1364,67,559,,,,,,0.39,,,,
PCSK6,99,1854,57,613,,,,,0.23,,,,,
MRPL9,43,1099,25,216,,,,,,0.32,,,,
CDK11A,53,1378,31,171,,,,,,0.4,,,,
ZNF26,9,155,6,60,,,,,0.23,,,,,
NDE1,89,3059,48,682,,,,,0.23,,,,,
IGFBP3,1437,44834,800,11556,,,,,,0.33,,,,
ZNF618,18,601,10,32,,,,,,0.29,,,,
RABGAP1,35,731,17,220,,,,,0.23,,,,,
CHMP4A,64,1466,53,540,,,,,,0.33,,,,
EFHD1,61,1059,41,381,,,,,0.23,,,,,
ZNF480,13,134,6,23,,,,,,0.14,,,,
CAP1,212,5424,123,1846,,,,,,0.19,,,,
KLF6,681,20173,449,7028,,,,,,0.3,,,,
DCAF4,16,106,13,46,,,,,0.33,,,,,
MARC1,35,92,19,56,,,,,,,,,,
PSMB4,108,3022,63,1179,,,,,,0.36,,,,
MRPS27,23,688,15,324,,,,,,0.21,,,,
LSG1,24,392,18,97,,,,,,0.36,,,,
SBK1,24,529,17,176,,,,,,0.29,,,,
B4GALNT4,36,621,25,121,,,,,,0.36,,,,
WWOX,530,16022,252,3715,,,,,0.23,,,,,0.13485671222222223
ABT1,21,484,14,82,,,,,,0.26,,,,
NRD1,35,996,15,213,,,,,,0.37,,,,
CILP2,33,817,20,247,,,,,,0.36,,,,
ZNF552,15,276,9,71,,,,,,,,,0.18687139,0.21093319384615386
C13orf15,11,722,1,0,,,,,,0.37,,,,
ARMCX1,34,750,22,136,,,,,0.27,,,,,
CFB,352,7348,208,2164,,,,,,0.33,,,,
LOC728554,2,29,0,0,,,,,,0.33,,,,
KRT17,539,21349,352,6218,,,,,,0.33,,,,
CARD10,61,3345,26,260,,,,,,0.33,,,,
ZNF654,11,48,8,24,,,,,,0.29,,,,
DCBLD2,110,2613,73,702,,,,,0.23,,,,,
ORC3L,7,107,3,22,,,,,0.23,,,,,
IL17RE,24,378,16,224,,,,,0.23,,,,,
RBM15B,475,10373,456,8735,,,,,,0.38,,,,
F11R,189,6740,112,1760,,,,,,0.21,,,,
MID2,38,336,28,225,,,,,,0.14,,,,
TBC1D24,19,134,13,68,,,,,,,,,,0.13485671222222223
ENC1,106,2537,71,610,,,,,0.23,,,,,
APRT,115,2431,41,345,,,,,,0.14,,,,
HSP90B1,340,7847,221,2264,,,,,,0.26,,,,
KLF9,281,6747,220,3510,,,,,,0.34,,,,
ZNF250,16,221,9,55,,,,,,,,,0.18687139,
MKS1,26,929,13,101,,,,,0.27,,,,,
LOC400027,1,0,1,0,,,,,,0.14,,,,
TSPYL2,56,1868,37,475,,,,,0.27,,,,,
CSF3R,337,11076,245,4318,,,,,,0.33,,,,
TRIM4,62,1024,51,774,,,,,0.27,,,,,
ZBTB43,11,91,5,18,,,,,,0.34,,,,
PINK1,1047,37737,825,17900,,,,,0.33,,,,,
RNF26,30,886,27,846,,,,,,0.29,,,,
FRA10AC1,9,59,5,13,,,,,,,,,,
MAEA,42,2196,25,1713,,,,,0.23,,,,,
SIPA1L1,29,734,15,162,,,,,0.23,,,,,
CSF1,2002,119126,1367,36822,,,,,0.23,,,,,
CKMT1B,31,494,21,141,,,,,0.27,,,,,
TAGLN2,228,7212,127,1314,,,,,0.25,,,,,
LYSET,3,5,3,5,,,,,,,,,,
LOC729991,1,11,0,0,,,,,0.27,,,,,
CMKLR1,168,4652,116,1582,,,,,,0.38,,,,
GLB1L2,18,348,13,58,,,,,0.23,,,,,
ITPKC,29,355,21,202,,,,,,0.4,,,,
PDLIM1,129,1906,96,874,,,,,,0.27,,,,
CAMLG,26,828,13,407,,,,,,,,,,0.3932296511764706
ATF6B,32,358,24,180,,,,,,0.21,,,,
MMP11,1024,43385,627,10122,,,,,0.27,,,,,
